"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 27, 2021","12.2110","11.6250","12.2730","11.2400","4.18M","5.11%"
"Aug 26, 2021","11.6170","12.2580","12.5010","11.2270","3.62M","-5.09%"
"Aug 25, 2021","12.2400","12.3120","12.6240","11.5420","5.17M","-0.59%"
"Aug 24, 2021","12.3130","13.7800","13.9320","12.2130","6.19M","-10.71%"
"Aug 23, 2021","13.7900","13.7680","14.1580","13.5500","3.44M","0.20%"
"Aug 22, 2021","13.7630","13.6700","14.0360","13.1140","3.30M","0.68%"
"Aug 21, 2021","13.6700","14.6620","14.7960","13.4970","5.49M","-6.80%"
"Aug 20, 2021","14.6670","14.0210","14.6980","13.5490","5.50M","4.71%"
"Aug 19, 2021","14.0070","12.5690","14.2460","12.0500","8.49M","11.57%"
"Aug 18, 2021","12.5550","12.5770","13.3570","12.0210","7.50M","-0.21%"
"Aug 17, 2021","12.5810","12.5490","14.4540","12.1010","11.47M","0.06%"
"Aug 16, 2021","12.5740","12.6200","13.4270","11.9760","7.91M","-0.25%"
"Aug 15, 2021","12.6060","12.2080","12.7120","11.5080","4.13M","3.28%"
"Aug 14, 2021","12.2060","12.5700","12.8580","11.8100","4.13M","-2.90%"
"Aug 13, 2021","12.5700","12.1460","12.5840","11.7910","5.10M","3.44%"
"Aug 12, 2021","12.1520","11.2060","12.1900","10.5230","7.34M","8.10%"
"Aug 11, 2021","11.2410","10.3700","12.1410","10.3580","8.60M","8.36%"
"Aug 10, 2021","10.3740","9.8070","10.6360","9.5990","7.38M","5.70%"
"Aug 09, 2021","9.8150","9.3800","10.1410","9.0490","5.09M","4.54%"
"Aug 08, 2021","9.3890","10.3520","10.4800","9.2230","4.17M","-9.24%"
"Aug 07, 2021","10.3450","9.8150","10.6850","9.7130","5.93M","5.62%"
"Aug 06, 2021","9.7950","9.6290","10.1100","8.9990","6.36M","1.65%"
"Aug 05, 2021","9.6360","8.7590","9.6550","8.1930","6.98M","10.04%"
"Aug 04, 2021","8.7570","8.0860","8.8770","7.9550","3.48M","8.26%"
"Aug 03, 2021","8.0890","8.3450","8.4590","7.8820","3.40M","-3.18%"
"Aug 02, 2021","8.3550","8.4840","8.7140","8.2830","2.76M","-1.58%"
"Aug 01, 2021","8.4890","8.8640","9.1950","8.3690","5.11M","-4.24%"
"Jul 31, 2021","8.8650","8.4730","9.0100","8.2160","4.90M","4.69%"
"Jul 30, 2021","8.4680","8.1870","8.5310","7.8620","4.99M","3.57%"
"Jul 29, 2021","8.1760","8.1590","8.2820","7.9920","4.74M","0.11%"
"Jul 28, 2021","8.1670","8.1840","8.4970","8.0180","6.19M","-0.24%"
"Jul 27, 2021","8.1870","8.2770","8.5260","7.8230","8.91M","-1.09%"
"Jul 26, 2021","8.2770","8.3250","9.6100","8.2520","10.21M","-0.65%"
"Jul 25, 2021","8.3310","8.0060","8.3330","7.8040","3.83M","0.18%"
"Jul 24, 2021","8.3160","8.5990","8.5990","8.2110","6.01M","-3.19%"
"Jul 23, 2021","8.5900","8.2360","8.6170","7.6630","9.10M","4.62%"
"Jul 22, 2021","8.2110","7.0930","8.2110","7.0410","11.55M","16.02%"
"Jul 21, 2021","7.0770","6.2950","7.1720","6.1450","5.67M","12.57%"
"Jul 20, 2021","6.2870","6.6330","6.7450","6.0330","4.86M","-5.22%"
"Jul 19, 2021","6.6330","7.0740","7.1410","6.4920","5.83M","-6.39%"
"Jul 18, 2021","7.0860","7.5020","7.9330","7.0210","6.30M","-5.46%"
